序号,片名,年份,类型,摄影指导/视觉总监,核心视觉关键词,主要摄影机/技术工具
366,1917,2019,电影,Roger Deakins,"One-shot illusion, immersive, natural light",Arri Alexa Mini LF
367,Ad Astra,2019,剧集,Hoyte van Hoytema,"Realistic space travel,Melancholic tone,Stark and beautiful compositions,Minimalist visuals,Psychological journey",Arricam LT
368,Apollo 11,2019,纪录/实验,Todd Douglas Miller (Director),"archival footage restoration, 70mm film, immersive experience, split-screen, direct cinema","Custom 70mm and 35mm cameras, 16mm film"
369,Beanpole,2019,动漫/动画,Ksenia Sereda,"绿色主色调,油画质感,战后创伤","Arri Alexa Mini, Cooke S4 Lenses"
370,Chernobyl,2019,剧集,Jakob Ihre,"Documentary realism, desaturated color palette, period-accurate lenses, handheld camera, naturalistic lighting","Arri Alexa Mini, Cooke Speed Panchro Lenses"
371,Children of the Sea,2019,动漫/动画,Kenichi Konishi,"Psychedelic, Marine life, Hand-drawn, Fluid animation, Spiritual","Digital animation, CGI"
372,Color Out of Space,2019,剧集,Steve Annis,"Lovecraftian horror,Magenta and purple hues,Body horror and mutations,Cosmic dread,Alpaca farm setting",Panavision Millennium DXL2
373,Delhi Crime,2019,剧集,"Johan Heurlin Aidt, David Bolen","Crime drama,docudrama style,handheld camera work,realistic and gritty","Arri Alexa Mini, Sony Venice"
374,Demon Slayer: Kimetsu no Yaiba,2019,动漫/动画,Akira Matsushima,"Ukiyo-e style, Dynamic action, Breathing techniques, Fluid animation, Historical fantasy","Digital animation, ufotable's in-house tools"
375,Euphoria,2019,剧集,"Marcell Rév, Drew Daniels","Kinetic camera movement, expressive lighting, neon color palette, long takes, film grain","Arricam LT, Arri Alexa 65, Cooke S4/i, Zeiss Super Speed, Kodak Ektachrome (shot on 35mm film)"
376,First Cow,2019,动漫/动画,Christopher Blauvelt,"4:3画幅,自然主义,柔和光线","Arricam LT, Cooke S4 Lenses"
377,Good Omens,2019,剧集,Gavin Finney,"Whimsical and stylized visuals, distinct color palettes for Heaven and Hell, Dutch angles, playful camera work, seamless VFX","Arri Alexa SXT, Cooke Anamorphic/i Lenses"
378,Green Frontier,2019,剧集,Paulo Andres Perez,"Magical realism,Amazon rainforest setting,mysterious atmosphere,lush visuals",Sony VENICE
379,Honeyland,2019,纪录/实验,"Fejmi Daut, Samir Ljuma","observational cinema, natural light, intimate access, verité style, environmental parable",Digital cameras
380,I Lost My Body,2019,动漫/动画,Jérémy Clapin,"2D and 3D animation blend, black-and-white flashbacks, sensory details, poetic and melancholic tone, unique perspective","Xilam Animation, Auvergne-Rhône-Alpes Cinéma"
381,Joker,2019,电影,Lawrence Sher,"70年代纽约, 胶片质感, 角色驱动光影, 衰败城市, 心理写实","Arri Alexa 65, Panavision H-Series"
382,Kaguya-sama: Love Is War,2019,动漫/动画,Mamoru Hatakeyama,"Psychological comedy, Minimalist, Expressive characters, Split screens, Visual gags",Digital animation
383,Kingdom,2019,剧集,Nak Seon Go,"Historical setting,zombie horror,tracking shots,dark and gritty",Arri Alexa Mini LF
384,Klaus,2019,动漫/动画,Sergio Pablos,"2D animation with volumetric lighting and texturing, hand-drawn characters, classical animation style, innovative lighting techniques","The SPA Studios, Toon Boom Harmony"
385,"Love, Death & Robots",2019,动漫/动画,Various,"Hyper-realistic CGI, diverse animation styles, mature themes, experimental storytelling","Various (Blur Studio, Platige Image, etc.)"
386,Midsommar,2019,电影,Pawel Pogorzelski,"Folk horror, vibrant, unsettling",Panavision DXL2
387,Monos,2019,动漫/动画,Jasper Wolf,"蛮荒景观,迷幻色彩,手持摄影","Arri Alexa Mini, Cooke S4 Lenses"
388,Our Planet,2019,纪录/实验,Various,"4K resolution, conservation focus, global ecosystems, stunning visuals, drone and gimbal technology","RED Dragon, Sony F55, Phantom Flex4K, DJI Inspire 2"
389,Parasite,2019,动漫/动画,Hong Kyung-pyo,"空间叙事,对比构图,冷暖色调","Arri Alexa 65, Cooke S7/i, Leica Summilux-C"
390,Portrait of a Lady on Fire,2019,动漫/动画,Claire Mathon,"油画质感,烛光照明,女性凝视","RED Monstro, Leitz Thalia Lenses"
391,Promare,2019,动漫/动画,Hiroyuki Imaishi,"Geometric shapes, Vibrant colors, High-octane action, Mecha, Trigger style","Digital animation, CGI"
392,Sex Education,2019,剧集,"Jamie Cairney, Oli Russell","Vibrant color palette, 80s aesthetic, cinematic framing, naturalistic lighting, anamorphic lenses","Sony VENICE, Cooke Anamorphic/i Lenses"
393,The Gift,2019,剧集,"Ahmet Sesigürgil, Feza Çaldiran","Mystery,archaeology,supernatural elements,Anatolian landscapes",ARRI Alexa
394,The Lighthouse,2019,电影,Jarin Blaschke,"Black and white, 1.19:1 aspect ratio, German Expressionism",Panavision Panaflex Millennium XL2
395,The Longest Day in Chang'an,2019,剧集,"Jing Chong, Cao Dun","Historical reconstruction,long takes,dynamic camera movement,grand scale",ARRI Alexa
396,The Mandalorian,2019,剧集,"Greig Fraser, Barry ""Baz"" Idoine, David Klein","Virtual production, real-time rendering, immersive environments, seamless VFX, tangible lighting","Arri Alexa LF, Panavision Ultra Vista Lenses, StageCraft (The Volume)"
397,The Untamed,2019,剧集,Sun Molong,"Wuxia aesthetic,traditional Chinese elements,dynamic action sequences,color and light",Arri Alexa
398,The Witcher,2019,剧集,"Jean-Philippe Gossart, Gavin Struthers","Fantasy,monster hunting,medieval world,epic scale","Panavision Millennium DXL2, Arri Alexa Mini LF"
399,Unbelievable,2019,剧集,"Quyen Tran, Xavier Grobet, John Lindley","Naturalistic lighting, documentary style, muted color palette, emotional close-ups, sensitive framing","Arri Alexa Mini, Canon C300 Mark II, Cooke S4/i Lenses"
400,Uncut Gems,2019,电影,Darius Khondji,"35mm胶片, 霓虹钻石, 焦虑美学, 浅景深, 纽约地下","Arriflex 435, Panavision C-Series Anamorphic"
401,Undercover,2019,剧集,"Kenson Lee, Laurens De Geyter","Crime drama,undercover operation,realistic portrayal,suspenseful storytelling",ARRI Alexa Mini
402,Weathering with You,2019,动漫/动画,Makoto Shinkai,"Photorealistic weather, Rain, Tokyo, Light and shadow, Emotional","Digital animation, CGI"
403,Alice in Borderland,2020,剧集,Taro Kawazu,"High-production value,VFX-heavy,cinematic look,dystopian aesthetic",Arri Alexa LF
404,Bridgerton,2020,剧集,"Jeffrey Jur, Alicia Robbins","Vibrant color palette, romantic lighting, elaborate set design, modern regency aesthetic, dynamic camera movement","Sony VENICE, Cooke S5/i Lenses"
405,Devs,2020,剧集,Rob Hardy,"Symmetrical and sterile compositions, minimalist aesthetic, bold use of color, slow and deliberate camera movements, sci-fi noir","Sony VENICE, Zeiss Supreme Prime Lenses"
406,Dick Johnson Is Dead,2020,纪录/实验,Kirsten Johnson,"docu-fantasy, staged deaths, dark humor, personal memoir, ethical exploration","Arri Amira, Canon C300 Mark II"
407,I May Destroy You,2020,剧集,Adam Gillham,"Direct and intimate cinematography, naturalistic lighting, non-linear narrative, bold color choices, subjective camera","Arri Alexa Mini, Cooke S4/i Lenses"
408,Jujutsu Kaisen,2020,动漫/动画,Tadashi Hiramatsu,"Cursed energy, Dynamic combat, Dark fantasy, Grotesque creatures, Cinematic","Digital animation, CGI"
409,Minari,2020,动漫/动画,Lachlan Milne,"温暖色调,家庭诗意,自然光","Arri Alexa Mini, Panavision PVintage Lenses"
410,Never Rarely Sometimes Always,2020,动漫/动画,Hélène Louvart,"16mm胶片,纪录片风格,亲密视角","Arriflex 416, Zeiss Super Speed Lenses"
411,Nomadland,2020,纪录/实验,Joshua James Richards,"自然光, 魔幻时刻, 广袤风景, 纪实与虚构融合, 流浪美学",Arri Alexa Mini LF
412,Normal People,2020,剧集,"Suzie Lavelle, Kate McCullough","Intimate close-ups, shallow depth of field, naturalistic lighting, handheld camera, melancholic tone","Arri Alexa Mini, Canon K35 Lenses"
413,Possessor,2020,电影,Karim Hussain,"身体恐怖, 实用特效, 迷幻色彩, 科幻惊悚, 柯南伯格式","Arri Alexa Mini, Panavision Primo"
414,Promising Young Woman,2020,电影,Benjamin Kracun,"糖果色调, 流行美学颠覆, 粉色与暴力, 讽刺视觉, 女性主义",Arri Alexa Mini
415,"Quo Vadis, Aida?",2020,动漫/动画,Christine A. Maier,"战争纪实感,手持跟拍,冷色调","Arri Alexa Mini, Cooke S4 Lenses"
416,Ragnarok,2020,剧集,"Niels A. Hansen, Jesper Tøffner","Modern take on Norse mythology,superhero elements,coming-of-age story,stunning Norwegian landscapes",ARRI Alexa Mini
417,Soul,2020,动漫/动画,"Matt Aspbury, Ian Megibben","Abstract character design,The Great Before,Ethereal lighting,Jazz club atmosphere,Photorealistic New York",Pixar RenderMan
418,Ted Lasso,2020,剧集,"David Rom, Vanessa Whyte","Warm and optimistic color palette, handheld camera, cinematic feel, naturalistic lighting, wide-angle lenses","Arri Alexa Mini LF, Tokina Cinema Vista Prime Lenses"
419,Tenet,2020,剧集,Hoyte van Hoytema,"Time inversion,Practical effects,Large-format cinematography,Complex action sequences,Reverse entropy visuals",IMAX MKIV
420,The Great,2020,剧集,"John Brawley, Maja Zamojda","Anachronistic style, opulent production design, dark humor, dynamic camera movement, vibrant color palette","Arri Alexa SXT, Blackmagic URSA Mini Pro, Cooke S5/i, Zeiss Super Speed Lenses"
421,The Queen's Gambit,2020,剧集,Steven Meizler,"Symmetrical compositions, period detail, color symbolism, psychological perspective, dynamic camera movement","RED Ranger Monstro 8K, Zeiss Supreme Prime Lenses"
422,Time,2020,纪录/实验,"Nisa Racho, Garrett Bradley","black and white, slow-motion, intimate portrait, non-linear timeline, archival home videos","Canon C300 Mark II, MiniDV"
423,Wolfwalkers,2020,动漫/动画,"Tomm Moore, Ross Stewart","Hand-drawn animation, expressive linework, triptych-style compositions, inspired by woodblock printing, dynamic action sequences","Cartoon Saloon, Mélusine Productions"
424,Arcane,2021,动漫/动画,Fortiche Production,"Painterly 2D/3D blend, hand-painted textures, expressive character animation, dynamic cinematography","Fortiche Production's proprietary tools, Blender"
425,Belle,2021,动漫/动画,Mamoru Hosoda,"Virtual world 'U', Disney-esque, Musical, Avatar, Emotional","Digital animation, CGI"
426,Drive My Car,2021,动漫/动画,Hidetoshi Shinomiya,"公路电影美学,克制镜头,红车符号","Arri Alexa Mini, Cooke Anamorphic/i Lenses"
427,Dune,2021,剧集,Greig Fraser,"Monumental scale,Naturalism,Desaturated palette,Painterly composition,Immersive atmosphere",ARRI Alexa LF
428,Encanto,2021,动漫/动画,"Jared Bush, Byron Howard","Magical realism, vibrant and colorful Colombian-inspired setting, detailed character animation, expressive musical sequences",Disney's Hyperion
429,Flee,2021,动漫/动画,N/A (动画导演: Jonas Poher Rasmussen),"简约动画, 纪录片动画融合, 记忆重构, 手绘风格, 难民叙事","Adobe Animate, After Effects"
430,Invisible City,2021,剧集,"Glauco Firpo, Kaue Zilli","Magical realism,Brazilian folklore,mysterious atmosphere,lush visuals",ARRI Alexa
431,Judas and the Black Messiah,2021,纪录/实验,Sean Bobbitt,"70年代质感, 政治紧张, 暖色调, 手持纪实, 历史重现",Arri Alexa LF
432,Lamb,2021,电影,Eli Arenson,"冰岛风景, 民间恐怖, 自然光, 冷色调, 北欧极简",Arri Alexa Mini LF
433,Memoria,2021,动漫/动画,Sayombhu Mukdeeprom,"声音视觉化,固定长镜头,神秘氛围","Arricam LT, Cooke S4 Lenses"
434,Spencer,2021,电影,Claire Mathon,"16mm胶片质感, 梦幻柔焦, 宫殿幽闭, 心理惊悚, 时尚摄影","Arri Alexa Mini, 16mm Film"
435,Squid Game,2021,剧集,"Lee Hyung-deok, Kim Ji-yong","Surreal,colorful world,geometric framing,stylized lighting,tension","Red Ranger Monstro, Arri Alexa 35"
436,The Chestnut Man,2021,剧集,"Sine Brooker, Louise McLaughlin","Nordic noir,dark and moody,atmospheric lighting,slow-burn suspense",Sony VENICE
437,The French Dispatch,2021,电影,Robert Yeoman,"画幅切换, 黑白与彩色交替, 对称构图, 杂志美学, 韦斯安德森风格","Arri Alexa 65, 35mm Film"
438,The Green Knight,2021,剧集,Andrew Droz Palermo,"Painterly compositions,Medieval fantasy,Atmospheric and dreamlike,Symbolic imagery,Rich and textured visuals",ARRI Alexa 65
439,The Mitchells vs. the Machines,2021,动漫/动画,"Mike Rianda, Jeff Rowe","2D and 3D animation blend, hand-drawn",
440,The Power of the Dog,2021,动漫/动画,Ari Wegner,"哥特式西部,压抑构图,胶片质感","Arri Alexa LF, Panavision Ultra Panatar Lenses"
441,The White Lotus,2021,剧集,"Ben Kutchins, Xavier Grobet","Saturated colors, voyeuristic framing, slow zooms, natural beauty, unsettling atmosphere","Arri Alexa Mini, Panavision Primo, Zeiss Super Speed, Cooke S4/i Lenses"
442,The Worst Person in the World,2021,动漫/动画,Kasper Tuxen,"35mm胶片,城市浪漫,时间静止","Arricam LT, Cooke S4 Lenses"
443,UFOs (OVNI(s)),2021,剧集,Nicolas Gaurin,"Retro 70s aesthetic,workplace comedy,sci-fi elements,dry satire",ARRI Alexa Mini
444,Young Royals,2021,剧集,Gabriel Mkrttchian,"Teen drama,naturalistic lighting,handheld camera work,emotional intimacy","Sony VENICE, Panavision Primo 70mm"
445,Aftersun,2022,动漫/动画,Gregory Oke,"DV影像美学,记忆碎片,情感闪回","Arricam LT, Cooke S4 Lenses"
446,All Quiet on the Western Front,2022,电影,James Friend,"去饱和战争, 泥泞质感, 沉浸式战壕, 冷色调, 德国表现主义回响","Arri Alexa Mini LF, Panavision T-Series Anamorphic"
447,Avatar: The Way of Water,2022,动漫/动画,Russell Carpenter,"Underwater performance capture,High frame rate,Photorealistic CGI,Advanced 3D,Bioluminescent world",Sony CineAlta Venice 3D
448,Chainsaw Man,2022,动漫/动画,Ryu Nakayama,"Gory, Kinetic, Cinematic, Dark humor, Grotesque","Digital animation, CGI"
449,Close,2022,动漫/动画,Frank van den Eeden,"花田色彩,情感特写,自然光","Arri Alexa Mini, Cooke S4 Lenses"
450,Crimes of the Future,2022,电影,Douglas Koch,"身体变异, 有机建筑, 冷色科技, 柯南伯格回归, 后人类美学",Arri Alexa Mini LF
451,Cyberpunk: Edgerunners,2022,动漫/动画,Hiroyuki Imaishi,"Cyberpunk, Neon-drenched, Hyper-violent, Trigger style, Emotional","Digital animation, CGI"
452,Decision to Leave,2022,电影,Kim Ji-yong,"Voyeuristic, reflective, precise",Arri Alexa Mini
453,EO,2022,动漫/动画,Michał Dymek,"动物主观视角,红色滤镜,公路之旅","Arri Alexa Mini LF, Cooke Anamorphic/i Lenses"
454,Everything Everywhere All at Once,2022,剧集,Larkin Seiple,"Genre-hopping visuals,Dynamic aspect ratios,Practical effects,Fast-paced editing,Kaleidoscopic imagery",ARRI Alexa Mini
455,Guillermo del Toro's Pinocchio,2022,动漫/动画,"Guillermo del Toro, Mark Gustafson","Stop-motion animation, handcrafted puppets, dark and mature themes, detailed and atmospheric sets, expressive character animation","Netflix Animation, The Jim Henson Company"
456,Nope,2022,电影,Hoyte van Hoytema,"IMAX, day-for-night, spectacle","IMAX MKIV, Panavision System 65"
457,Puss in Boots: The Last Wish,2022,动漫/动画,N/A (视觉总监: Nate Wragg),"水彩渲染, 低帧率动画, 绘本风格, 2D/3D融合, 表现主义","DreamWorks Animation, Presto"
458,RRR,2022,电影,K. K. Senthil Kumar,"Maximalist, slow-motion, vibrant",Arri Alexa LF
459,Saint Omer,2022,动漫/动画,Claire Mathon,"法庭剧场感,固定长镜头,女性凝视","RED Monstro, Leitz Thalia Lenses"
460,Severance,2022,剧集,Jessica Lee Gagné,"Symmetrical and sterile compositions, unsettling atmosphere, corporate aesthetic, long takes, split-screen visuals","Sony VENICE, Panavision C-Series Lenses"
461,Strange World,2022,动漫/动画,Don Hall,"Retro sci-fi aesthetic, pulp magazine-inspired visuals, unique and imaginative creature designs, vibrant and surreal environments",Disney's Hyperion
462,Suzume,2022,动漫/动画,新海诚 (Makoto Shinkai),"超写实背景, 灾难美学, 光影粒子, 日本风景, 数字水彩","Digital animation, After Effects, Photoshop"
463,The Banshees of Inisherin,2022,电影,Ben Davis,"爱尔兰风景, 柔和自然光, 田园与暴力对比, 静态构图, 寓言色调",Arri Alexa Mini LF
464,The Batman,2022,电影,Greig Fraser,"Neo-noir, chiaroscuro, rain-soaked",Arri Alexa LF
465,The Fabelmans,2022,电影,Janusz Kamiński,"光影致敬, 电影中的电影, 家庭记忆, 胶片质感, 斯皮尔伯格式光束","Arri Alexa LF, Panavision C-Series"
466,Top Gun: Maverick,2022,电影,Claudio Miranda,"IMAX实拍飞行, 机舱内摄影, 极速运动, 实拍优先, 沉浸式体验","Sony Venice, IMAX-qualified 6K full-frame"
467,Tár,2022,电影,Florian Hoffmeister,"冷色权力美学, 古典音乐厅光影, 对称构图, 心理空间, 16mm与数字混合",Arri Alexa Mini LF
468,About Dry Grasses,2023,动漫/动画,"Cevahir Şahin, Kürşat Üresin","冬日雪景,油画质感,哲学思辨","Sony Venice, Zeiss Supreme Prime Lenses"
469,All of Us Strangers,2023,动漫/动画,Jamie D. Ramsay,"35mm胶片,梦幻与现实,霓虹光影","Arricam LT, Panavision H-Series Lenses"
470,Anatomy of a Fall,2023,动漫/动画,Simon Beaufils,"伪纪录片风格,多视角叙事,冷峻色调","Sony Venice, Angenieux Optimo Lenses"
471,Asteroid City,2023,电影,Robert Yeoman,"沙漠粉彩, 画幅嵌套, 韦斯安德森极致对称, 复古科幻, 舞台化构图","Arri Alexa 65, 35mm Film"
472,Blossoms Shanghai,2023,剧集,Peter Pau,"Dreamlike cinematography,nostalgic atmosphere,dynamic camera movement,single-camera setup",Z CAM E2-F6
473,Blue Eye Samurai,2023,动漫/动画,Earl A. Hibbert (视觉总监),"2D/3D融合, 日本浮世绘风格, 暴力美学, 东方色彩, 成人动画","Toon Boom Harmony, 3D CGI hybrid"
474,Creatura,2023,剧集,Agnès Piqué Corbera,"Body exploration,Surreal imagery,Intimate and personal,Symbolic visuals,Dreamlike sequences",ARRIFLEX 416
475,El Conde,2023,剧集,Edward Lachman,"Black-and-white cinematography,Gothic satire,Vampire Pinochet,High-contrast lighting,Flying sequences",ARRI Alexa Mini
476,Godzilla Minus One,2023,剧集,Kōzō Shibasaki,"Post-war Japan setting,Destructive scale,Heat ray sequence,VFX Oscar winner,Intense and terrifying monster",Sony Venice
477,John Wick: Chapter 4,2023,电影,Dan Laustsen,"Neon-noir, dynamic, long takes",Arri Alexa LF
478,Killers of the Flower Moon,2023,纪录/实验,Rodrigo Prieto,"1920年代色调, 广角叙事, 自然光, 历史纪实感, 美国西部","Arri Alexa LF, Arri DNA LF Lenses"
479,Nimona,2023,动漫/动画,"Nick Bruno, Troy Quane","Stylized 2D/3D blend, punk rock aesthetic, expressive character animation, dynamic action sequences","DNEG Animation, Annapurna Animation"
480,Oppenheimer,2023,电影,Hoyte van Hoytema,"IMAX, black and white, practical effects","IMAX MKIV, Panavision System 65"
481,Past Lives,2023,动漫/动画,Shabier Kirchner,"35mm胶片,城市疏离感,长镜头对话","Arricam LT, Panavision H-Series Lenses"
482,Poor Things,2023,剧集,Robbie Ryan,"Fisheye lenses,Surreal and fantastical sets,Black-and-white to color transition,Steampunk aesthetic,Gothic and whimsical",Arricam LT
483,Priscilla,2023,电影,Philippe Le Sourd,"柔和粉彩, 60年代美学, 梦幻质感, 女性视角, 时尚摄影",Arri Alexa 35
484,Saltburn,2023,电影,Linus Sandgren,"英国庄园, 广角变形, 夏日金色, 欲望色彩, 暗黑童话","Arri Alexa 35, Panavision C-Series Anamorphic"
485,Society of the Snow,2023,剧集,Pedro Luque,"Andes survival,Realistic plane crash,Harsh and beautiful landscapes,Documentary-style realism,Visceral and immersive",ARRI Alexa Mini LF
486,The Boy and the Heron,2023,动漫/动画,Atsushi Okui (摄影监督),"手绘动画回归, 梦境世界, 水彩质感, 宫崎骏遗作级, 生死主题","传统手绘动画, Toonz, Digital compositing"
487,The Holdovers,2023,电影,Eigil Bryld,"70年代胶片模拟, 复古色调, 冬季光影, 学院画幅, 怀旧质感","Arri Alexa Mini LF, Panavision C-Series"
488,The Killer,2023,电影,Erik Messerschmidt,"Precise, cold, observational",RED Komodo
489,The Last of Us,2023,剧集,"Ksenia Sereda, Eben Bolter","Grounded realism, naturalistic lighting, handheld camera, emotional close-ups, faithful to game's aesthetic","Arri Alexa Mini, Cooke S4/i Lenses"
490,The Zone of Interest,2023,动漫/动画,Łukasz Żal,"固定机位,自然光,墙外摄影","Sony Venice, Leitz M 0.8 Lenses"
491,Wish,2023,动漫/动画,"Chris Buck, Fawn Veerasunthorn","2D and 3D animation blend, watercolor-inspired style, classic Disney aesthetic, starry and magical visuals",Walt Disney Animation Studios
492,3 Body Problem,2024,剧集,Jonathan Freeman,"科幻现实融合, VR世界视觉, 宇宙尺度, 多时空叙事, 粒子特效",Arri Alexa 35
493,Civil War,2024,剧集,Rob Hardy,"Modern civil war,Documentary-style realism,Intense and visceral combat,Photojournalism perspective,Gritty and unsettling",DJI Ronin 4D
494,Furiosa: A Mad Max Saga,2024,剧集,Simon Duggan,"Post-apocalyptic wasteland,Expansive action sequences,Vibrant and desolate color palette,Practical and digital VFX,Origin story aesthetic",ARRI Alexa LF
495,Kingdom of the Planet of the Apes,2024,剧集,Gyula Pados,"Photorealistic apes,Lush, overgrown world,Motion capture in natural environments,Post-human civilization,Adventure and discovery",ARRI Alexa 65
496,Love Lies Bleeding,2024,剧集,Ben Fordesman,"80s neon-noir,Bodybuilding aesthetic,Surreal and violent,Hyper-real visuals,Romantic thriller",ARRIFLEX 35 BL
497,Nosferatu,2024,电影,Jarin Blaschke,"German Expressionism, black and white, gothic",Panavision Panaflex Millennium XL2
498,Ripley,2024,剧集,Robert Elswit,"黑白摄影, 意大利光影, 希区柯克式构图, 高反差, 古典犯罪",Arri Alexa Mini LF
499,Shōgun,2024,电影,"Sam McCurdy, Christopher Ross","日本战国美学, 自然光, 胶片质感LUT, 东西方融合, 史诗构图","Arri Alexa 35, Panavision C-Series"
500,Architecton,2025,纪录/实验,Ben Bernhard,"architectural meditation, material juxtaposition, poetic destruction, infrared cinematography, drone perspective","High-resolution digital cameras, Infrared cameras, Drones"
